Gruppe;Nr.;Navn;Adresse 1;Postnr.;By;Land;Telfon/fax;Attention;Deres ref.;E-mail
Demo;SYN-0001;Demo Kunde 001;Testvej 1;8000;Aarhus C;Danmark;00000001;Testkontakt 001;SYNTHETIC;demo-kunde-001@example.invalid
Demo;SYN-0002;Demo Kunde 002;Testvej 2;8000;Aarhus C;Danmark;00000002;Testkontakt 002;SYNTHETIC;demo-kunde-002@example.invalid
Demo;SYN-0003;Demo Kunde 003;Testvej 3;8000;Aarhus C;Danmark;00000003;Testkontakt 003;SYNTHETIC;demo-kunde-003@example.invalid
Demo;SYN-0004;Demo Kunde 004;Testvej 4;8000;Aarhus C;Danmark;00000004;Testkontakt 004;SYNTHETIC;demo-kunde-004@example.invalid
Demo;SYN-0005;Demo Kunde 005;Testvej 5;8000;Aarhus C;Danmark;00000005;Testkontakt 005;SYNTHETIC;demo-kunde-005@example.invalid
Demo;SYN-0006;Demo Kunde 006;Testvej 6;8000;Aarhus C;Danmark;00000006;Testkontakt 006;SYNTHETIC;demo-kunde-006@example.invalid
Demo;SYN-0007;Demo Kunde 007;Testvej 7;8000;Aarhus C;Danmark;00000007;Testkontakt 007;SYNTHETIC;demo-kunde-007@example.invalid
Demo;SYN-0008;Demo Kunde 008;Testvej 8;8000;Aarhus C;Danmark;00000008;Testkontakt 008;SYNTHETIC;demo-kunde-008@example.invalid
Demo;SYN-0009;Demo Kunde 009;Testvej 9;8000;Aarhus C;Danmark;00000009;Testkontakt 009;SYNTHETIC;demo-kunde-009@example.invalid
Demo;SYN-0010;Demo Kunde 010;Testvej 10;8000;Aarhus C;Danmark;00000010;Testkontakt 010;SYNTHETIC;demo-kunde-010@example.invalid
Demo;SYN-0011;Demo Kunde 011;Testvej 11;8000;Aarhus C;Danmark;00000011;Testkontakt 011;SYNTHETIC;demo-kunde-011@example.invalid
Demo;SYN-0012;Demo Kunde 012;Testvej 12;8000;Aarhus C;Danmark;00000012;Testkontakt 012;SYNTHETIC;demo-kunde-012@example.invalid
